device_id,ts,seq,rssi,reading,val
412222,1654428870,3392,-134,hum,88
412222,1654429770,3392,-134,temp,13.7
412222,1654429770,3392,-134,hum,88
412222,1654430670,3392,-134,temp,13.7
412222,1654430670,3392,-134,hum,88
412222,1654431570,3392,-134,temp,13.7
412222,1654431570,3392,-134,hum,88
412222,1654432470,3392,-134,temp,13.7
412222,1654432470,3392,-134,hum,88
412222,1654433370,3392,-134,temp,13.7
412222,1654433370,3392,-134,hum,88
412222,1654434270,3392,-134,temp,13.7
412222,1654434270,3392,-134,hum,88
412222,1654435170,3392,-134,temp,13.8
412222,1654435170,3392,-134,hum,88
412222,1654436070,3392,-134,temp,13.8
412222,1654436070,3392,-134,hum,88
412222,1654436970,3392,-134,temp,13.8
412222,1654436970,3392,-134,hum,88
412222,1654437870,3392,-134,temp,13.8
412222,1654437870,3392,-134,hum,88
412222,1654438770,3392,-134,temp,13.8
412222,1654438770,3392,-134,hum,88
412222,1654439670,3392,-134,temp,13.8
412222,1654439670,3392,-134,hum,88
412222,1654526071,3400,-130,temp,16.5
412222,1654526071,3400,-130,hum,76
412222,1654526971,3400,-130,temp,16.5
412222,1654526971,3400,-130,hum,76
412222,1654527871,3400,-130,temp,16.5
412222,1654527871,3400,-130,hum,76
412222,1654528771,3400,-130,temp,16.5
412222,1654528771,3400,-130,hum,76
412222,1654529671,3400,-130,temp,16.5
412222,1654529671,3400,-130,hum,76
412222,1654530571,3400,-130,temp,16.5
412222,1654530571,3400,-130,hum,76
412222,1654531471,3400,-130,temp,16.6
412222,1654531471,3400,-130,hum,76
412222,1654532371,3400,-130,temp,16.5
412222,1654532371,3400,-130,hum,76
412222,1654533271,3400,-130,temp,16.5
412222,1654533271,3400,-130,hum,76
412222,1654534171,3400,-130,temp,16.6
412222,1654534171,3400,-130,hum,76
412222,1654535071,3400,-130,temp,16.5
412222,1654535071,3400,-130,hum,75
412222,1654535971,3400,-130,temp,16.6
412222,1654535971,3400,-130,hum,75
412222,1654536871,3400,-130,temp,16.5
412222,1654536871,3400,-130,hum,75
412222,1654551273,3402,-131,temp,16.6
412222,1654551273,3402,-131,hum,75
412222,1654552173,3402,-131,temp,16.6
412222,1654552173,3402,-131,hum,75
412222,1654553073,3402,-131,temp,16.6
